DATE,TIME,AGE,SEX,RACE,GEOCODE_OVERRIDE,DISTRICT_NUM,DISTRICT_NAME,NEIGHBORHOOD_NAME,COMMUNITY_NAME,LINK,MURDER,PUB_CAUSE,LAT,LNG,IS_MURDER,IS_FATAL,HOUR,HOUR_HH,MINUTES_MM,ID
2015-12-05,07:05,25,M,,"(41.89556635916233, -87.7224538475275)",11,Harrison,Humboldt Park,Humboldt Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151205-story.html,,,41.89556635916233, -87.7224538475275,0,1,07:05:00,7,5,902
2015-11-22,19:35,35,M,,"(41.890052407979965, -87.7606250345707)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-20151122-story.html,Yes,Shot,41.890052407979965, -87.7606250345707,1,1,19:35:00,19,35,903
2015-12-20,16:00,24,M,B,"(41.90552520751953, -87.76318359375)",25,Grand Central,North Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-20151220-story.html,,,41.90552520751953, -87.76318359375,0,1,16:00:00,16,0,904
2015-08-19,01:35,31,M,B,"(42.00804948806763, -87.65950709581375)",24,Rogers Park,Rogers Park,Rogers Park,http://www.chicagotribune.com/news/local/breaking/ct-girl-17-wounded-in-south-chicago-shooting-20150818-story.html,,Shot,42.00804948806763, -87.65950709581375,0,1,01:35:00,1,35,905
2015-12-20,3:40,21,F,B,"(41.91335543990135, -87.6630449295044)",14,Shakespeare,,West Town,http://www.chicagotribune.com/news/local/breaking/ct-woman-dies-nightclub-closed-20151223-story.html,Yes,,41.91335543990135, -87.6630449295044,1,1,03:40:00,3,40,906
2015-12-23,18:15,39,,,"(41.89878836274147, -87.7482620626688)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151223-story.html,Yes,Shot,41.89878836274147, -87.7482620626688,1,1,18:15:00,18,15,907
2015-12-24,17:00,30,M,B,"(41.761905670166016, -87.61431121826172)",3,Grand Crossing,Park Manor,Greater Grand Crossing,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151224-story.html,,Shot,41.761905670166016, -87.61431121826172,0,1,17:00:00,17,0,908
2015-12-24,17:35,42,M,B,"(41.69164203107357, -87.63048492372036)",5,Calumet,Roseland,Roseland,http://www.chicagotribune.com/news/local/breaking/ct-man-stabbed-in-roseland-20151224-story.html,Yes,Stabbing,41.69164203107357, -87.63048492372036,1,1,17:35:00,17,35,909
2015-12-25,21:50,37,M,W(H),"(41.854000091552734, -87.69666290283203)",10,Ogden,Little Village,South Lawndale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20151226-story.html,Yes,Shot,41.854000091552734, -87.69666290283203,1,1,21:50:00,21,50,910
2016-01-01,02:00,24,M,B,"(41.81115187704563, -87.6115371286869)",2,Wentworth,Bronzeville,Grand Boulevard,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151231-story.html,Yes,Shot,41.81115187704563, -87.6115371286869,1,1,02:00:00,2,0,911
2016-01-05,20:20,25,M,W(H),"(41.81000518798828, -87.6909408569336)",9,Deering,Brighton Park,Brighton Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20160105-story.html,Yes,Shot,41.81000518798828, -87.6909408569336,1,1,20:20:00,20,20,912
2016-01-08,21:45,37,M,W,"(41.92703628540039, -87.74066925048828)",25,Grand Central,Belmont Gardens,Hermosa,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20160108-story.html,Yes,Shot,41.92703628540039, -87.74066925048828,1,1,21:45:00,21,45,913
2016-01-09,14:00,19,M,B,"(41.79960632324219, -87.64807891845703)",9,Deering,Back of the Yards,New City,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160109-story.html,Yes,Shot,41.79960632324219, -87.64807891845703,1,1,14:00:00,14,0,914
2016-01-11,21:20,21,M,,"(41.89323551952839, -87.75068610906601)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160111-story.html,Yes,Shot,41.89323551952839, -87.75068610906601,1,1,21:20:00,21,20,915
2016-01-08,21:00,21,M,B,"(41.773501709103584, -87.69207715988159)",8,Chicago Lawn,Marquette Park,Chicago Lawn,http://www.chicagotribune.com/news/local/breaking/ct-southwest-side-homicide-identified-20160112-story.html,Yes,Shot,41.773501709103584, -87.69207715988159,1,1,21:00:00,21,0,916
2015-12-04,16:00,23,M,B,"(41.85365295410156, -87.72742462158203)",10,Ogden,Lawndale,North Lawndale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151204-story.html,,,41.85365295410156, -87.72742462158203,0,1,16:00:00,16,0,917
2016-01-14,18:20,19,M,W(H),"(41.84283447265625, -87.72364044189453)",10,Ogden,Little Village,South Lawndale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20160114-story.html,Yes,Shot,41.84283447265625, -87.72364044189453,1,1,18:20:00,18,20,918
2016-01-16,20:15,29,M,W(H),"(41.95398151874542, -87.708226069808)",17,Albany Park,Albany Park,Irving Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20160116-story.html,Yes,Shot,41.95398151874542, -87.708226069808,1,1,20:15:00,20,15,919
2016-01-16,11:50,27,M,B,"(41.81115187704563, -87.74339653551579)",8,Chicago Lawn,LeClaire Courts,Garfield Ridge,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20160116-story.html,Yes,Shot,41.81115187704563, -87.74339653551579,1,1,11:50:00,11,50,920
2016-01-23,2:20,25,M,B,"41.852383, -87.618430",1,Central,Bronzeville,Near South Side,http://www.chicagotribune.com/news/local/breaking/ct-2-teens-wounded-in-little-village-shooting-20160121-story.html,Yes,Shot,41.852383, -87.618430,1,1,02:20:00,2,20,921
2016-01-23,7:10,22,M,B,"(41.87117385864258, -87.70996856689453)",11,Harrison,Homan Square,East Garfield Park,http://www.chicagotribune.com/news/local/breaking/ct-2-teens-wounded-in-little-village-shooting-20160121-story.html,Yes,Shot,41.87117385864258, -87.70996856689453,1,1,07:10:00,7,10,922
2016-01-25,17:00,19,M,W(H),"(41.83855438232422, -87.7283935546875)",10,Ogden,Little Village,South Lawndale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20160125-story.html,Yes,Shot,41.83855438232422, -87.7283935546875,1,1,17:00:00,17,0,923
2016-01-25,09:18,20,M,B,"(41.77213042974472, -87.67390586435795)",7,Englewood,West Englewood,West Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20160125-story.html,Yes,Shot,41.77213042974472, -87.67390586435795,1,1,09:18:00,9,18,924
2016-01-26,12:01,76,M,B,"(41.65510940551758, -87.61128234863281)",5,Calumet,Golden Gate,Riverdale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20160126-story.html,Yes,Shot,41.65510940551758, -87.61128234863281,1,1,12:01:00,12,1,925
